Date,New,Review,Total
"Friday, January 1, 2010",98,54,152
"Saturday, January 2, 2010",421,302,723
"Sunday, January 3, 2010",13,27,40
"Monday, January 4, 2010",405,296,701
"Tuesday, January 5, 2010",445,215,660
"Wednesday, January 6, 2010",416,236,652
"Thursday, January 7, 2010",367,233,600
"Friday, January 8, 2010",300,140,440
"Saturday, January 9, 2010",282,216,498
"Sunday, January 10, 2010",8,20,28
"Monday, January 11, 2010",366,221,587
"Tuesday, January 12, 2010",285,168,453
"Wednesday, January 13, 2010",153,138,291
"Thursday, January 14, 2010",37,61,98
"Friday, January 15, 2010",107,119,226
"Saturday, January 16, 2010",229,178,407
"Sunday, January 17, 2010",9,32,41
"Monday, January 18, 2010",411,305,716
"Tuesday, January 19, 2010",430,240,670
"Wednesday, January 20, 2010",434,271,705
"Thursday, January 21, 2010",375,216,591
"Friday, January 22, 2010",296,197,493
"Saturday, January 23, 2010",396,291,687
"Sunday, January 24, 2010",8,34,42
"Monday, January 25, 2010",432,290,722
"Tuesday, January 26, 2010",425,217,642
"Wednesday, January 27, 2010",410,228,638
"Thursday, January 28, 2010",453,244,697
"Friday, January 29, 2010",295,184,479
"Saturday, January 30, 2010",374,270,644
"Sunday, January 31, 2010",4,36,40
"Monday, February 1, 2010",450,362,812
"Tuesday, February 2, 2010",414,268,682
"Wednesday, February 3, 2010",385,261,646
"Thursday, February 4, 2010",413,289,702
"Friday, February 5, 2010",336,202,538
"Saturday, February 6, 2010",421,333,754
"Sunday, February 7, 2010",17,27,44
"Monday, February 8, 2010",449,338,787
"Tuesday, February 9, 2010",453,268,721
"Wednesday, February 10, 2010",400,231,631
"Thursday, February 11, 2010",357,280,637
"Friday, February 12, 2010",273,214,487
"Saturday, February 13, 2010",539,361,900
"Sunday, February 14, 2010",13,36,49
"Monday, February 15, 2010",499,365,864
"Tuesday, February 16, 2010",361,252,613
"Wednesday, February 17, 2010",439,272,711
"Thursday, February 18, 2010",439,290,729
"Friday, February 19, 2010",398,221,619
"Saturday, February 20, 2010",455,329,784
"Sunday, February 21, 2010",9,26,35
"Monday, February 22, 2010",434,359,793
"Tuesday, February 23, 2010",413,293,706
"Wednesday, February 24, 2010",474,324,798
"Thursday, February 25, 2010",461,288,749
"Friday, February 26, 2010",429,240,669
"Saturday, February 27, 2010",539,426,965
"Sunday, February 28, 2010",15,27,42
"Monday, March 1, 2010",452,324,776
"Tuesday, March 2, 2010",444,253,697
"Wednesday, March 3, 2010",492,327,819
"Thursday, March 4, 2010",422,268,690
"Friday, March 5, 2010",424,186,610
"Saturday, March 6, 2010",454,355,809
"Sunday, March 7, 2010",11,29,40
"Monday, March 8, 2010",405,363,768
"Tuesday, March 9, 2010",410,271,681
"Wednesday, March 10, 2010",486,305,791
"Thursday, March 11, 2010",457,282,739
"Friday, March 12, 2010",370,225,595
"Saturday, March 13, 2010",452,363,815
"Sunday, March 14, 2010",11,20,31
"Monday, March 15, 2010",406,320,726
"Tuesday, March 16, 2010",458,291,749
"Wednesday, March 17, 2010",453,282,735
"Thursday, March 18, 2010",424,247,671
"Friday, March 19, 2010",384,181,565
"Saturday, March 20, 2010",426,267,693
"Sunday, March 21, 2010",11,48,59
"Monday, March 22, 2010",443,322,765
"Tuesday, March 23, 2010",392,203,595
"Wednesday, March 24, 2010",449,281,730
